ID,Protocol,Vision
s1,Linear_60,1
s2,Linear_120,1
s3,Linear_60,1
s4,Linear_120,1
s5,Linear_180,1
s6,Linear_120,1
s7,Linear_180,1
s8,Linear_60,1
s9,Linear_180,1
s10,Linear_180,1
s11,Linear_60,1
s12,Linear_120,1
s13,Linear_180,1
s14,Linear_60,1
s15,Linear_60,1
s16,Linear_60,1
s17,Linear_180,1
s18,Linear_180,1
s19,Linear_60,1
s20,Linear_120,1
s21,Linear_60,1
s22,Linear_60,1
s23,Linear_60,1
s24,Linear_120,1
s25,Linear_120,1
s26,Linear_120,1
s27,Linear_120,1
s28,Linear_60,1
s29,Linear_60,1
s30,Linear_120,1
s31,Linear_180,1
s32,Linear_180,1
s33,Linear_60,1
s34,Linear_180,1
s35,Linear_180,1
s36,Linear_60,1
s37,Linear_180,1
s38,Linear_60,1
s39,Linear_60,1
s40,Linear_120,1
s41,Linear_60,1
s42,Linear_120,1
s43,Linear_180,1
s44,Linear_120,1
s45,Linear_120,1
s46,Linear_180,1
s47,Linear_120,1
s48,Linear_60,1
s49,Linear_180,1
s50,Linear_180,1
s51,Linear_60,1
s52,Linear_120,1
s53,Linear_180,1
s54,Linear_60,1
s55,Linear_180,1
s56,Linear_60,1
s57,Linear_120,1
s58,Linear_120,1
s59,Linear_60,1
s60,Linear_180,1
s61,Linear_180,1
s62,Linear_120,1
s63,Linear_120,1
s64,Linear_60,1
s65,Linear_60,1
s66,Linear_180,1
s67,Linear_60,1
s68,Linear_120,1
s69,Linear_120,1
s70,Linear_60,1
s71,Linear_120,1
s72,Linear_60,1
s73,Linear_180,1
s74,Linear_60,1
s75,Linear_120,1
s76,Linear_60,1
s77,Linear_120,1
s78,Linear_120,1
s79,Linear_60,1
s80,Linear_60,1
s82,Linear_60,1
s84,Linear_120,1
s85,Linear_60,1
s87,Linear_180,1
s88,Linear_60,1
s89,Linear_180,1
s90,Linear_60,1
s91,Linear_180,1
s92,Linear_120,1
s94,Linear_60,1
s95,Linear_180,1
s96,Linear_120,1
s97,Linear_60,1
s98,Linear_120,1
s99,Linear_180,1
s100,Linear_180,1
s101,Linear_120,1
s102,Linear_180,1
s103,Linear_60,1
s104,Linear_60,1
s105,Linear_120,1
s106,Linear_180,1
s107,Linear_60,1
s108,Linear_180,1
s109,Linear_180,1
s110,Linear_60,1
s111,Linear_60,1
s112,Linear_60,1
s113,Linear_60,1
s114,Linear_120,1
s115,Linear_180,1
s116,Linear_180,1
s117,Linear_180,1
s118,Linear_120,1
s119,Linear_180,1
s120,Linear_60,1
s121,Linear_60,1
s122,Linear_120,1
s123,Linear_180,1
s124,Linear_180,1
s125,Linear_180,1
s126,Linear_60,1
s127,Linear_60,1
s128,Linear_60,1
s129,Linear_60,1
s130,Linear_60,1
s131,Linear_60,1
s132,Linear_180,1
s133,Linear_120,1
s134,Linear_180,1
s135,Linear_60,1
s136,Linear_180,1
s137,Linear_60,1
s138,Linear_60,1
s139,Linear_120,1
s140,Linear_180,1
s141,Linear_60,1
s142,Linear_180,1
s143,Linear_120,1
s144,Linear_120,1
s146,Linear_120,1
s147,Linear_180,1
s148,Linear_180,1
s149,Linear_180,1
s150,Linear_120,1
s151,Linear_180,1
s152,Linear_180,1
s153,Linear_120,1
s154,Linear_120,1
s155,Linear_180,1
s156,Linear_120,1
s157,Linear_60,1
s158,Linear_120,1
s159,Linear_60,1
s160,Linear_180,1
s161,Linear_60,1
s162,Linear_120,1
s163,Linear_180,1
s164,Linear_60,1
s165,Linear_120,1
s166,Linear_180,1
s167,Linear_120,1
s168,Linear_120,1
s170,Linear_120,1
s171,Linear_180,1
s173,Linear_180,1
s174,Linear_180,1
s175,Linear_60,1
s176,Linear_60,1
s177,Linear_180,1
s178,Linear_180,1
s179,Linear_60,1
s180,Linear_60,1
s181,Linear_180,1
s182,Linear_120,1
s183,Linear_60,1
s184,Linear_120,1
s185,Linear_120,1
s186,Linear_180,1
s187,Linear_180,1
s188,Linear_60,1
s189,Linear_180,1
s190,Linear_60,1
