Content,Engagement standardized,Engagement(1/alpha),Pleasantness standardized,Attention standardized,Engagement standardized_ad,Pleasantness standardized_ad,Attention standardized_ad,FAA standardized_ad,Gender,Unaided Recall,VOLTI,BRAND,PERSON SHOWN,CELEBRITY PRESENT,CHILDREN,GROUP OF PEOPLE,ANIMAL,STORYTELLING,DYNAMISM,NUTRITION,PRINCIPAL CHARACTER IS FEMALE,CELEBRITY_PRESENT_STATIC,CHILDREN_STATIC,ANIMAL_STATIC,FAMIGLIA E AMICI,ANIMATED,luminance,saturation,hue,contrast,num_edges,symmetry,feature_complexity,entropy,colorfulness,hog_features,texture_contrast,motion_video,volume_dbfs,diff_percent,Age,Age Group,GSR_standardized_all,FAA_sign_GSR_standardized,Pleasantness_sign_GSR_standardized,FAA_sign,Pleasantness_sign,Mean ISC,Alpha_ISC,Beta_ISC,Gamma_ISC,Theta_ISC,Delta_ISC,Position,First_Brand,BRAND_X_ENGAGEMENT,BRAND_X_ATTENTION,BRAND_X_PLEASANTNESS,BRAND_X_GSR,BRAND_X_FAA,BRAND_X_ENGAGEMENT(1/alpha),Gender_Femmina,Device_Smartphone,Device_TV
CHANEL,-0.020683676905530714,0.4431311475409837,-0.15481438615089488,-0.07240626024350151,-0.3962439926547357,-0.08532920351743847,0.04924303324315964,-0.042997021450360516,Femmina,1,0.5901639344262295,0.08196721311475409,0.8852459016393442,0.47540983606557374,0.01639344262295082,0.3770491803278688,0.01639344262295082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9518002777418425,-0.1371256685065588,0.02986894122716532,-0.3463141533707694,-0.45601102421863887,-0.003395454906443353,-0.3572044861975929,-0.4228458667817524,-0.8151803677993865,-0.39147313125005584,-0.2447247864695239,0.47326583062006644,0.5731111763911627,0.04750458151101388,50,35-54,-0.7014502778918983,0.567593710626298,0.3748512294801614,-0.8032786885245902,-0.5409836065573771,0.6306601313371842,0.6864461713814987,0.8384661256316112,0.8193004988618308,0.536405474562486,0.2726823862484944,9.0,0.0,0.015278768568905584,-0.07120898703665215,-0.010281904286821148,-0.04062816028356856,-0.08196721311475409,0.1425081967213115,1,0,0
COOP,0.18512230412576489,0.6423770491803279,-0.14365493133931162,-0.31794056212707705,-0.2546140750611033,-0.07276398197488301,-0.2410795568899804,0.1803307258559226,Femmina,1,0.04918032786885246,0.04918032786885246,0.2786885245901639,0.01639344262295082,0.0,0.04918032786885246,0.5245901639344263,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04622741774269195,-0.6028322471739825,-0.26814284312389913,0.2728715261130766,0.6891181477192391,-0.05037485141088679,0.7153089433762899,0.16493248214738399,-0.21490200332898643,0.33859166565958376,0.18234132295960787,-0.05076795010983369,0.6201342597652855,0.022821153415185445,50,35-54,-0.6883999901017585,0.33425737775223774,0.18766803821929387,-0.47540983606557374,-0.2786885245901639,0.5729424097492182,0.4729200678672109,0.7996704829015681,0.8226903172981581,0.5184271806309221,0.2510040000482318,2.0,0.0,-0.007058775364901073,-0.007182528804892519,0.03920807613414905,-0.040358908882852984,-0.04918032786885246,0.03978688524590162,1,0,0
IKEA,0.766361400961078,-0.7523870967741934,-0.10236664170526844,-0.05522227221764904,0.14537840802647375,-0.026274568726267447,0.0695615788565865,0.0687896489342933,Femmina,1,0.41935483870967744,1.0,0.5483870967741935,0.0967741935483871,0.03225806451612903,0.41935483870967744,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4582990725529583,-0.008759225900567495,0.32476305424623914,-0.4040429686082357,-0.34947025459439635,2.0079298178191105,-1.3150258886704351,-2.0254080556163454,1.615349744375359,-2.3509938909359023,0.857941053090884,-3.255358597202049,0.2658498891205764,0.12045089198693842,50,35-54,-0.8660218378115271,0.7470379032430979,0.28652964873358105,-0.8709677419354839,-0.3548387096774194,0.6678635843098012,0.7683071357981169,0.9063145985374608,0.9342548126992096,0.69959339262172,0.0308479818924983,5.0,1.0,0.766361400961078,-0.05522227221764904,-0.10236664170526844,-0.8660218378115271,-0.8709677419354839,-0.7523870967741934,1,0,0
MUTTI,0.6429748262585653,0.02590322580645164,0.35225949136819423,-0.013892533558196246,0.060467219732970735,0.4856212342097244,0.11843033847628158,0.32998071004762125,Femmina,1,0.5483870967741935,0.12903225806451613,0.6129032258064516,0.3870967741935484,0.0,0.45161290322580644,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5491790305805055,-0.2730659000879696,-0.09877565916449443,0.1928381336511405,-0.2982873183148386,-0.24936826322521113,0.008138106516470844,0.3442482816086772,-0.37644217924819945,0.19660742567279368,-0.4515751286460633,1.6458171095377123,0.09971520861558626,0.1262589816939345,50,35-54,-0.890612561612388,0.42461489580939793,0.022030918904998205,-0.4838709677419355,-0.03225806451612903,0.6723057634946371,0.6319409138375777,0.8721344798916203,0.9009018672436396,0.5497309533989057,0.4068206031014421,3.0,0.0,0.09446942870062466,0.027427929599881686,0.18971628246910102,-0.11860826189033281,0.06451612903225806,0.006645161290322593,1,0,0
ORASI,0.6383151819464625,-0.9102903225806454,-0.19954275312081302,-0.09680277410064626,0.21404933055915404,-0.1356920437908157,0.020396313909484688,-0.0799456685307115,Femmina,0,0.5806451612903226,0.8064516129032258,0.7096774193548387,0.1935483870967742,0.03225806451612903,0.16129032258064516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7997831988482689,0.4554605179929626,-0.6027570052226588,0.4265227161394811,1.9311543894470922,0.13498915988630455,0.6735898241523289,0.10378367872330095,0.2480835939300097,-0.049750120356210535,0.981812806646621,1.0783928863202177,0.4978881950584905,-0.1089309187201599,50,35-54,-0.8487177196441134,0.6893343638619921,0.24933434684009886,-0.8064516129032258,-0.2903225806451613,0.6395415283814831,0.6791824316752004,0.9202801377618928,0.9551018882223772,0.5623142826688249,0.0808289015791212,6.0,1.0,0.5799929501665624,-0.09364536535167327,-0.008564949518264468,-0.6791579667078063,-0.6129032258064516,-0.5255483870967742,1,0,0
AMAZON,0.7714064149214964,-1.5144262295081967,0.1567045726729854,-0.08463008715291406,0.2164285421172952,0.22712645785975374,-0.2792570971636326,0.30454238297869074,Femmina,1,0.7377049180327869,0.13114754098360656,0.8524590163934426,0.6229508196721312,0.0,0.4426229508196721,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0912055341850861,0.23080999415901368,-0.3348559774101785,-0.30195885339619,-0.3513461645269166,-0.19772789613184455,0.09377080846483564,0.172357244792984,-0.0390757319900273,0.6897764785403403,-0.5449661565998274,-0.8313761687128352,2.3317914045202883,0.006132716455815539,57,55+,-0.14698010153912824,-0.02523956086167791,0.007845850300884395,-0.21311475409836064,-0.18032786885245902,0.5795265048676307,0.5572542386288297,0.9661347273821648,0.974031331668614,0.1893789471937258,0.2108332794648194,6.0,0.0,0.20254438554518284,-0.05436037594561656,-0.05034282994915644,-0.014173517777349548,0.0,0.15670491803278688,1,0,1
BARILLA,-0.08141162856209085,-2.7835483870967743,0.21446612074928836,0.28743836498033704,-0.37693549418278477,0.2815033220509501,0.14075258736932328,0.12622894826702344,Femmina,1,0.5161290322580645,0.4838709677419355,0.5161290322580645,0.2903225806451613,0.22580645161290322,0.12903225806451613,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5222584240005778,-0.4513157921703,-0.6449323506581228,-0.28860841581279034,-0.14365951069013752,-0.23416476934005837,-0.12883751957864462,0.34096642976482044,0.34487632222837905,0.1771526702485519,-0.4547881065186596,-1.3752169515908566,1.6056699801933747,-0.22647977501135286,57,55+,0.06660717606677755,0.03933465941098267,0.014327037422232423,-0.3548387096774194,-0.16129032258064516,0.5024776174595114,0.4136247011197161,0.911474046910687,0.9512876423224632,0.0320825937175173,0.2039191032271731,2.0,1.0,0.11361252223348872,0.0019673721387532556,-0.06584149490666431,0.012401079547038093,-0.2903225806451613,-1.161548387096774,1,0,1
COCA COLA,0.6663923198591808,-3.0026721311475413,0.0055281946308572425,0.00210940005148865,0.21381442029084582,0.0848086417434945,-0.18134117753004828,0.1068727780168725,Femmina,1,0.7868852459016393,0.7868852459016393,0.9344262295081968,0.639344262295082,0.0,0.5245901639344263,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.34326050871474595,0.6322478987553686,-0.9606066847609387,0.08471920525316733,-0.4325271890400871,-0.3182447907185727,-0.2706884249527264,0.300972648675378,-0.5290517852314591,0.14473141700068248,-0.4649193883737899,0.4190108375838504,0.6377313258698984,0.045084476714588456,57,55+,-0.03989938415472282,0.01069269648063847,0.03149077217975925,-0.2459016393442623,-0.2786885245901639,0.5321541379324876,0.4790754320209807,0.9430257642403916,0.9790981275112408,0.1583781645077046,0.1011932013821198,7.0,1.0,0.5581277879152793,-0.025701536976676962,0.03893811741006135,-0.05962001086958624,-0.22950819672131148,-2.450754098360656,1,0,1
IKEA,0.5362293162411956,-2.8580967741935486,-0.564514308071729,0.33976709326065796,-0.07059803381945087,-0.45183077989598425,0.1998239021529725,-0.30977592189472014,Femmina,1,0.41935483870967744,1.0,0.5483870967741935,0.0967741935483871,0.03225806451612903,0.41935483870967744,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4582990725529583,-0.008759225900567495,0.32476305424623914,-0.4040429686082357,-0.34947025459439635,2.0079298178191105,-1.3150258886704351,-2.0254080556163454,1.615349744375359,-2.3509938909359023,0.857941053090884,-3.255358597202049,0.2658498891205764,0.12045089198693842,57,55+,0.20594071383620652,-0.13080895516683722,-0.12353226241268428,-0.7419354838709677,-0.6774193548387096,0.6539018616546304,0.6178321160121565,0.9177585339892376,0.9596831745447872,0.3187215952374015,0.455513888489569,5.0,1.0,0.5362293162411956,0.33976709326065796,-0.564514308071729,0.20594071383620652,-0.7419354838709677,-2.8580967741935486,1,0,1
MULTICENTRUM,0.5757996247393606,-3.05,-0.17857430716581232,0.08491700605684911,0.04878473608997887,-0.08850590869467172,-0.08786376423195764,-0.12944022320665977,Femmina,1,0.6774193548387096,0.3225806451612903,0.8387096774193549,0.06451612903225806,0.12903225806451613,0.6129032258064516,0.03225806451612903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.525126956384454,-0.529968357306483,0.3987898183946648,-0.34351021531306314,-0.21784564194789793,0.07395103315270751,0.8551840497558529,0.0010331187741952003,0.7249958823673586,-0.13603437976946878,0.509418208043902,0.5167481297006512,0.25812460864073294,-0.012945565365036198,57,55+,-0.1487864124551,0.0755885310986873,0.034532449055853835,-0.5483870967741935,-0.2903225806451613,0.5553783736435634,0.6399781731147781,0.9616029322885848,0.9810073890720624,0.0713191788473776,0.1229841948950136,9.0,1.0,0.21097538762721882,0.005087185172296245,-0.09923173744965175,-0.044766478490721566,-0.1935483870967742,-0.7788387096774193,1,0,1
